query,src_folder,src_dialect,tgt_dialect,level,difficulty,committed_transpile_ok,committed_footprint_equiv,recomputed_footprint_equiv,relaxed_equiv,exec_equiv,note
inner_join,mysql,mysql,snowflake,basic,easy,True,True,True,True,,
aggregate_count,mysql,mysql,postgres,basic,easy,True,True,True,True,,
aggregate_count,mysql,mysql,mysql,basic,easy,True,True,True,True,,
aggregate_count,mysql,mysql,tsql,basic,easy,True,True,True,True,,
aggregate_count,mysql,mysql,oracle,basic,easy,True,True,True,True,,
aggregate_count,mysql,mysql,snowflake,basic,easy,True,True,True,True,,
where_in,mysql,mysql,postgres,basic,easy,True,True,True,True,,
where_in,mysql,mysql,mysql,basic,easy,True,True,True,True,,
where_in,mysql,mysql,tsql,basic,easy,True,True,True,True,,
where_in,mysql,mysql,oracle,basic,easy,True,True,True,True,,
where_in,mysql,mysql,snowflake,basic,easy,True,True,True,True,,
json_extract,mysql,mysql,postgres,intermediate,medium,True,True,True,True,,
json_extract,mysql,mysql,mysql,intermediate,medium,True,True,True,True,,
json_extract,mysql,mysql,tsql,intermediate,medium,True,False,False,False,,
json_extract,mysql,mysql,oracle,intermediate,medium,True,True,True,True,,
json_extract,mysql,mysql,snowflake,intermediate,medium,True,False,False,False,,
group_concat,mysql,mysql,postgres,intermediate,medium,True,True,True,True,,
group_concat,mysql,mysql,mysql,intermediate,medium,True,True,True,True,,
group_concat,mysql,mysql,tsql,intermediate,medium,True,True,True,True,,
group_concat,mysql,mysql,oracle,intermediate,medium,True,True,True,True,,
group_concat,mysql,mysql,snowflake,intermediate,medium,True,True,True,True,,
date_format,mysql,mysql,postgres,intermediate,medium,True,False,False,False,,
date_format,mysql,mysql,mysql,intermediate,medium,True,True,True,True,,
date_format,mysql,mysql,tsql,intermediate,medium,True,False,False,False,,
date_format,mysql,mysql,oracle,intermediate,medium,True,False,False,False,,
date_format,mysql,mysql,snowflake,intermediate,medium,True,False,False,False,,
subquery_in_select,mysql,mysql,postgres,intermediate,medium,True,True,True,True,,
subquery_in_select,mysql,mysql,mysql,intermediate,medium,True,True,True,True,,
subquery_in_select,mysql,mysql,tsql,intermediate,medium,True,True,True,True,,
subquery_in_select,mysql,mysql,oracle,intermediate,medium,True,True,True,True,,
subquery_in_select,mysql,mysql,snowflake,intermediate,medium,True,True,True,True,,
left_join_with_aggregation,mysql,mysql,postgres,intermediate,medium,True,True,True,True,,
left_join_with_aggregation,mysql,mysql,mysql,intermediate,medium,True,True,True,True,,
left_join_with_aggregation,mysql,mysql,tsql,intermediate,medium,True,True,True,True,,
left_join_with_aggregation,mysql,mysql,oracle,intermediate,medium,True,True,True,True,,
left_join_with_aggregation,mysql,mysql,snowflake,intermediate,medium,True,True,True,True,,
case_when,mysql,mysql,postgres,intermediate,medium,True,True,True,True,,
case_when,mysql,mysql,mysql,intermediate,medium,True,True,True,True,,
case_when,mysql,mysql,tsql,intermediate,medium,True,True,True,True,,
case_when,mysql,mysql,oracle,intermediate,medium,True,True,True,True,,
case_when,mysql,mysql,snowflake,intermediate,medium,True,True,True,True,,
window_function_row_number,mysql,mysql,postgres,advanced,hard,True,True,True,True,,
